state,year,avg_completion
Johor,2016,97.78
Johor,2017,99.32
Johor,2018,97.0
Johor,2019,96.97
Johor,2020,94.77
Johor,2021,96.8
Johor,2022,99.07
Kedah,2016,98.34
Kedah,2017,98.29
Kedah,2018,97.49
Kedah,2019,97.63
Kedah,2020,97.87
Kedah,2021,99.33
Kedah,2022,99.9
Kelantan,2016,98.33
Kelantan,2017,97.23
Kelantan,2018,91.24
Kelantan,2019,102.37
Kelantan,2020,102.37
Kelantan,2021,104.07
Kelantan,2022,98.87
Melaka,2016,99.07
Melaka,2017,98.42
Melaka,2018,99.03
Melaka,2019,98.13
Melaka,2020,96.8
Melaka,2021,97.13
Melaka,2022,98.7
Negeri Sembilan,2016,98.58
Negeri Sembilan,2017,98.41
Negeri Sembilan,2018,97.7
Negeri Sembilan,2019,97.57
Negeri Sembilan,2020,97.2
Negeri Sembilan,2021,100.13
Negeri Sembilan,2022,100.63
Pahang,2016,97.93
Pahang,2017,95.34
Pahang,2018,97.07
Pahang,2019,95.2
Pahang,2020,96.83
Pahang,2021,98.67
Pahang,2022,98.4
Perak,2016,97.61
Perak,2017,96.7
Perak,2018,97.17
Perak,2019,97.8
Perak,2020,96.2
Perak,2021,99.0
Perak,2022,99.8
Perlis,2016,95.49
Perlis,2017,96.74
Perlis,2018,96.95
Perlis,2019,95.57
Perlis,2020,95.5
Perlis,2021,97.37
Perlis,2022,101.03
Pulau Pinang,2016,97.17
Pulau Pinang,2017,96.51
Pulau Pinang,2018,95.66
Pulau Pinang,2019,96.9
Pulau Pinang,2020,95.6
Pulau Pinang,2021,95.53
Pulau Pinang,2022,99.03
Sabah,2016,95.81
Sabah,2017,96.81
Sabah,2018,96.39
Sabah,2019,96.67
Sabah,2020,96.73
Sabah,2021,98.1
Sabah,2022,99.93
Sarawak,2016,97.16
Sarawak,2017,97.08
Sarawak,2018,96.95
Sarawak,2019,97.07
Sarawak,2020,95.9
Sarawak,2021,98.37
Sarawak,2022,99.53
Selangor,2016,98.41
Selangor,2017,97.84
Selangor,2018,98.41
Selangor,2019,96.5
Selangor,2020,95.8
Selangor,2021,100.63
Selangor,2022,98.67
Terengganu,2016,98.96
Terengganu,2017,99.03
Terengganu,2018,99.48
Terengganu,2019,100.77
Terengganu,2020,98.67
Terengganu,2021,101.07
Terengganu,2022,100.83
W.P. Kuala Lumpur,2016,96.84
W.P. Kuala Lumpur,2017,93.15
W.P. Kuala Lumpur,2018,92.4
W.P. Kuala Lumpur,2019,96.2
W.P. Kuala Lumpur,2020,89.9
W.P. Kuala Lumpur,2021,95.73
W.P. Kuala Lumpur,2022,95.9
W.P. Labuan,2016,91.79
W.P. Labuan,2017,95.92
W.P. Labuan,2018,91.71
W.P. Labuan,2019,94.6
W.P. Labuan,2020,97.93
W.P. Labuan,2021,95.13
W.P. Labuan,2022,98.17
W.P. Putrajaya,2016,107.76
W.P. Putrajaya,2017,102.72
W.P. Putrajaya,2018,98.03
W.P. Putrajaya,2019,102.13
W.P. Putrajaya,2020,100.2
W.P. Putrajaya,2021,89.33
W.P. Putrajaya,2022,102.6
