state,year,poverty_absolute,completion
Johor,2016,0.0,99.06
Johor,2019,3.9,97.7
Johor,2020,5.9,98.2
Johor,2022,4.6,99.0
Kedah,2016,0.2,98.23
Kedah,2019,8.8,98.6
Kedah,2020,12.7,98.3
Kedah,2022,9.0,98.8
Kelantan,2016,0.4,95.88
Kelantan,2019,12.4,96.2
Kelantan,2020,21.2,95.6
Kelantan,2022,13.2,95.9
Melaka,2016,0.1,99.32
Melaka,2019,3.4,98.6
Melaka,2020,5.6,99.1
Melaka,2022,3.8,99.0
Negeri Sembilan,2016,0.3,99.21
Negeri Sembilan,2019,5.5,98.4
Negeri Sembilan,2020,6.9,98.9
Negeri Sembilan,2022,5.0,99.2
Pahang,2016,0.3,97.81
Pahang,2019,6.5,98.3
Pahang,2020,9.0,98.3
Pahang,2022,6.3,98.6
Perak,2016,0.3,98.57
Perak,2019,5.9,98.4
Perak,2020,9.4,98.9
Perak,2022,6.4,99.0
Perlis,2016,0.8,98.86
Perlis,2019,5.7,98.8
Perlis,2020,9.2,98.5
Perlis,2022,5.7,99.4
Pulau Pinang,2016,0.2,99.21
Pulau Pinang,2019,3.6,98.6
Pulau Pinang,2020,5.5,99.0
Pulau Pinang,2022,3.6,99.3
Sabah,2016,3.0,96.55
Sabah,2019,19.5,97.0
Sabah,2020,25.3,96.1
Sabah,2022,19.4,96.9
Sarawak,2016,0.9,96.71
Sarawak,2019,9.0,97.1
Sarawak,2020,11.7,97.0
Sarawak,2022,9.6,97.8
Selangor,2016,0.2,99.31
Selangor,2019,2.7,98.5
Selangor,2020,5.3,98.9
Selangor,2022,3.5,99.2
Terengganu,2016,1.6,96.83
Terengganu,2019,10.7,97.3
Terengganu,2020,13.1,96.7
Terengganu,2022,10.4,97.8
W.P. Kuala Lumpur,2016,0.4,99.21
W.P. Kuala Lumpur,2019,3.0,98.4
W.P. Kuala Lumpur,2020,5.7,98.8
W.P. Kuala Lumpur,2022,3.6,99.3
W.P. Labuan,2016,3.6,96.97
W.P. Labuan,2019,11.4,97.4
W.P. Labuan,2020,16.8,96.2
W.P. Labuan,2022,10.9,97.8
W.P. Putrajaya,2016,0.0,99.74
W.P. Putrajaya,2019,1.2,98.9
W.P. Putrajaya,2020,3.2,99.4
W.P. Putrajaya,2022,1.8,99.7
