state,year,avg_completion
Johor,2016,99.29
Johor,2017,99.22
Johor,2018,95.65
Johor,2019,97.85
Johor,2020,93.7
Johor,2021,96.25
Johor,2022,98.55
Kedah,2016,99.53
Kedah,2017,98.79
Kedah,2018,98.05
Kedah,2019,98.4
Kedah,2020,98.4
Kedah,2021,98.85
Kedah,2022,100.15
Kelantan,2016,99.37
Kelantan,2017,98.53
Kelantan,2018,93.87
Kelantan,2019,104.55
Kelantan,2020,98.6
Kelantan,2021,100.25
Kelantan,2022,98.8
Malaysia,2016,98.81
Malaysia,2017,97.23
Malaysia,2018,96.65
Malaysia,2019,97.75
Malaysia,2020,95.6
Malaysia,2021,98.4
Malaysia,2022,99.25
Melaka,2016,99.1
Melaka,2017,98.35
Melaka,2018,98.58
Melaka,2019,97.85
Melaka,2020,96.3
Melaka,2021,96.65
Melaka,2022,98.6
Negeri Sembilan,2016,99.21
Negeri Sembilan,2017,97.83
Negeri Sembilan,2018,97.99
Negeri Sembilan,2019,97.9
Negeri Sembilan,2020,96.7
Negeri Sembilan,2021,100.75
Negeri Sembilan,2022,101.0
Pahang,2016,98.7
Pahang,2017,94.19
Pahang,2018,98.13
Pahang,2019,94.6
Pahang,2020,97.25
Pahang,2021,98.45
Pahang,2022,98.25
Perak,2016,98.96
Perak,2017,96.67
Perak,2018,97.76
Perak,2019,98.25
Perak,2020,95.75
Perak,2021,98.8
Perak,2022,100.1
Perlis,2016,96.41
Perlis,2017,96.87
Perlis,2018,97.15
Perlis,2019,96.8
Perlis,2020,96.05
Perlis,2021,97.15
Perlis,2022,101.7
Pulau Pinang,2016,98.37
Pulau Pinang,2017,96.08
Pulau Pinang,2018,95.75
Pulau Pinang,2019,96.45
Pulau Pinang,2020,94.45
Pulau Pinang,2021,94.75
Pulau Pinang,2022,99.1
Sabah,2016,98.67
Sabah,2017,97.68
Sabah,2018,97.26
Sabah,2019,97.8
Sabah,2020,97.25
Sabah,2021,98.2
Sabah,2022,100.1
Sarawak,2016,98.59
Sarawak,2017,97.73
Sarawak,2018,97.74
Sarawak,2019,97.95
Sarawak,2020,95.85
Sarawak,2021,98.8
Sarawak,2022,99.8
Selangor,2016,98.59
Selangor,2017,96.7
Selangor,2018,96.58
Selangor,2019,95.95
Selangor,2020,95.15
Selangor,2021,100.05
Selangor,2022,98.95
Terengganu,2016,100.01
Terengganu,2017,99.07
Terengganu,2018,99.02
Terengganu,2019,100.3
Terengganu,2020,98.25
Terengganu,2021,102.1
Terengganu,2022,101.4
W.P. Kuala Lumpur,2016,96.23
W.P. Kuala Lumpur,2017,91.33
W.P. Kuala Lumpur,2018,91.58
W.P. Kuala Lumpur,2019,95.5
W.P. Kuala Lumpur,2020,86.6
W.P. Kuala Lumpur,2021,94.6
W.P. Kuala Lumpur,2022,95.65
W.P. Labuan,2016,98.52
W.P. Labuan,2017,94.16
W.P. Labuan,2018,93.0
W.P. Labuan,2019,94.85
W.P. Labuan,2020,94.95
W.P. Labuan,2021,93.7
W.P. Labuan,2022,95.85
W.P. Putrajaya,2016,106.48
W.P. Putrajaya,2017,100.29
W.P. Putrajaya,2018,98.15
W.P. Putrajaya,2019,101.55
W.P. Putrajaya,2020,97.45
W.P. Putrajaya,2021,85.25
W.P. Putrajaya,2022,102.3
