state,stage,sex,date,completion,Rate of Completion
Johor,secondary_upper,both,1/01/2022,98.1,High
Kedah,secondary_upper,both,1/01/2022,99.2,High
Kelantan,secondary_upper,both,1/01/2022,99.4,High
Melaka,secondary_upper,both,1/01/2022,97.7,Moderate
Negeri Sembilan,secondary_upper,both,1/01/2022,100.4,High
Pahang,secondary_upper,both,1/01/2022,100,High
Perak,secondary_upper,both,1/01/2022,100.3,High
Perlis,secondary_upper,both,1/01/2022,97.9,Moderate
Pulau Pinang,secondary_upper,both,1/01/2022,100.5,High
Sabah,secondary_upper,both,1/01/2022,99.6,High
Sarawak,secondary_upper,both,1/01/2022,98.9,High
Selangor,secondary_upper,both,1/01/2022,99.3,High
Terengganu,secondary_upper,both,1/01/2022,99,High
W.P. Kuala Lumpur,secondary_upper,both,1/01/2022,97.5,Moderate
W.P. Labuan,secondary_upper,both,1/01/2022,99.3,High
W.P. Putrajaya,secondary_upper,both,1/01/2022,101.7,High
