"district","state","teachers"
"Batu Pahat","Johor","12020"
"Johor Bahru","Johor","35008"
"Kluang","Johor","8324"
"Kota Tinggi","Johor","7734"
"Kulai","Johor","5590"
"Mersing","Johor","2722"
"Muar","Johor","8244"
"Pontian","Johor","5672"
"Segamat","Johor","6346"
"Tangkak","Johor","4458"
"Baling","Kedah","4954"
"Bandar Baharu","Kedah","1520"
"Kota Setar","Kedah","10694"
"Kuala Muda","Kedah","13732"
"Kubang Pasu","Kedah","7348"
"Kulim","Kedah","8372"
"Langkawi","Kedah","3098"
"Padang Terap","Kedah","2428"
"Pendang","Kedah","3804"
"Pokok Sena","Kedah","1416"
"Sik","Kedah","2344"
"Yan","Kedah","2530"
"Bachok","Kelantan","5480"
"Gua Musang","Kelantan","3454"
"Jeli","Kelantan","1824"
"Kecil Lojing","Kelantan","294"
"Kota Bharu","Kelantan","16272"
"Kuala Krai","Kelantan","4524"
"Machang","Kelantan","3540"
"Pasir Mas","Kelantan","7336"
"Pasir Puteh","Kelantan","5038"
"Tanah Merah","Kelantan","4904"
"Tumpat","Kelantan","5280"
"Alor Gajah","Melaka","7322"
"Jasin","Melaka","5918"
"Melaka Tengah","Melaka","14630"
"Jelebu","Negeri Sembilan","1666"
"Jempol","Negeri Sembilan","4176"
"Kuala Pilah","Negeri Sembilan","3096"
"Port Dickson","Negeri Sembilan","4262"
"Rembau","Negeri Sembilan","2658"
"Seremban","Negeri Sembilan","16334"
"Tampin","Negeri Sembilan","3022"
"Bentong","Pahang","3764"
"Bera","Pahang","3030"
"Cameron Highlands","Pahang","1240"
"Jerantut","Pahang","3716"
"Kuala Lipis","Pahang","3610"
"Kuantan","Pahang","14542"
"Maran","Pahang","4354"
"Pekan","Pahang","4312"
"Raub","Pahang","2996"
"Rompin","Pahang","4532"
"Temerloh","Pahang","5986"
"Bagan Datuk","Perak","2832"
"Batang Padang","Perak","4304"
"Hilir Perak","Perak","4582"
"Hulu Perak","Perak","3980"
"Kampar","Perak","2772"
"Kerian","Perak","6706"
"Kinta","Perak","19554"
"Kuala Kangsar","Perak","6826"
"Larut Matang & Selama","Perak","10188"
"Manjung (Dinding)","Perak","7640"
"Muallim","Perak","2746"
"Perak Tengah","Perak","4196"
"Perlis","Perlis","9388"
"Barat Daya","Pulau Pinang","4740"
"Seberang Perai Selatan","Pulau Pinang","5530"
"Seberang Perai Tengah","Pulau Pinang","9720"
"Seberang Perai Utara","Pulau Pinang","9620"
"Timur Laut","Pulau Pinang","9748"
"Beaufort","Sabah","3400"
"Beluran","Sabah","2082"
"Keningau","Sabah","5772"
"Kinabatangan","Sabah","1650"
"Kota Belud","Sabah","3922"
"Kota Kinabalu","Sabah","9276"
"Kota Marudu","Sabah","2934"
"Kuala Penyu","Sabah","1220"
"Kudat","Sabah","3830"
"Kunak","Sabah","1462"
"Lahad Datu","Sabah","4636"
"Nabawan","Sabah","1338"
"Papar","Sabah","4194"
"Penampang","Sabah","3404"
"Pitas","Sabah","1964"
"Putatan","Sabah","124"
"Ranau","Sabah","3958"
"Sandakan","Sabah","7122"
"Semporna","Sabah","4052"
"Sipitang","Sabah","1454"
"Tambunan","Sabah","1634"
"Tawau","Sabah","8134"
"Telupid","Sabah","614"
"Tenom","Sabah","2312"
"Tongod","Sabah","1078"
"Tuaran","Sabah","4788"
"Asajaya","Sarawak","1700"
"Bau","Sarawak","2068"
"Belaga","Sarawak","684"
"Betong","Sarawak","2858"
"Bintulu","Sarawak","4208"
"Dalat","Sarawak","1162"
"Daro","Sarawak","1588"
"Julau","Sarawak","1350"
"Kabong","Sarawak","264"
"Kanowit","Sarawak","1402"
"Kapit","Sarawak","2136"
"Kuching","Sarawak","16158"
"Lawas","Sarawak","1388"
"Limbang","Sarawak","1748"
"Lubok Antu","Sarawak","1090"
"Lundu","Sarawak","1494"
"Maradong","Sarawak","1516"
"Marudi","Sarawak","2406"
"Miri","Sarawak","6516"
"Mukah","Sarawak","1616"
"Pusa","Sarawak","26"
"Samarahan","Sarawak","2768"
"Saratok","Sarawak","2020"
"Sarikei","Sarawak","2370"
"Sebauh","Sarawak","404"
"Serian","Sarawak","3578"
"Sibu","Sarawak","8888"
"Simunjan","Sarawak","1890"
"Song","Sarawak","758"
"Sri Aman","Sarawak","2062"
"Subis","Sarawak","806"
"Tatau","Sarawak","718"
"Gombak","Selangor","16778"
"Klang","Selangor","19842"
"Kuala Langat","Selangor","7700"
"Kuala Selangor","Selangor","8214"
"Petaling","Selangor","32758"
"Sabak Bernam","Selangor","4666"
"Sepang","Selangor","6460"
"Ulu Langat","Selangor","21498"
"Ulu Selangor","Selangor","6548"
"Besut","Terengganu","7006"
"Dungun","Terengganu","5930"
"Hulu Terengganu","Terengganu","3844"
"Kemaman","Terengganu","7068"
"Kuala Nerus","Terengganu","5018"
"Kuala Terengganu","Terengganu","8560"
"Marang","Terengganu","4032"
"Setiu","Terengganu","3414"
"W.P. Kuala Lumpur","W.P. Kuala Lumpur","33276"
"W.P. Labuan","W.P. Labuan","2700"
"W.P. Putrajaya","W.P. Putrajaya","4884"
